chinese,pinyin,meaning
授人以鱼不如授人以渔,shòu rén yǐ yú bù rú shòu rén yǐ yú,比起直接给予帮助，教会别人如何做事更加有价值。
无源之水，无本之木,"wú yuán zhī shuǐ, wú běn zhī mù",比喻没有根基或根据。
虚虚实实,xū xū shí shí,形容言语、行为或说的话有实有虚。
有的放矢,yǒu dì fàng shǐ,比喻言行有的有计划，有的有目标。
明枪易躲，暗箭难防,"míng qiāng yì duǒ, àn jiàn nán fáng",明目张胆的事情容易避开，暗地里伤人的事情却很难防范。
守口如瓶,shǒu kǒu rú píng,形容不泄露秘密，保守口风。
含沙射影,hán shā shè yǐng,比喻在话里暗中影射或暗中诽谤。
奉公守法,fèng gōng shǒu fǎ,遵守法律，秉公办事。
扬眉吐气,yáng méi tǔ qì,打败了仇敌，感到自豪和得意。
青梅竹马,qīng méi zhú mǎ,幼小时候就互相相爱，长大后成为夫妻。
轻松自如,qīng sōng zì rú,感到轻松和自在。
老马识途,lǎo mǎ shí tú,比喻有经验的人在熟悉的领域里表现得游刃有余。
七上八下,qī shàng bā xià,形容心情不安，犹豫不决。
星星之火，可以燎原,"xīng xīng zhī huǒ, kě yǐ liáo yuán",比喻小小的火苗可以燃起熊熊烈火。
万无一失,wàn wú yī shī,没有一点失误，十分稳妥。
心惊肉跳,xīn jīng ròu tiào,感到非常恐惧，心跳加速。
得过且过,dé guò qiě guò,过一天算一天，不考虑未来。
殊途同归,shū tú tóng guī,不同的方式或途径最终都达到同样的目的。
人山人海,rén shān rén hǎi,人非常多，非常拥挤。
四海为家,sì hǎi wéi jiā,到了哪里都能觉得像在家一样舒适。
同舟共济,tóng zhōu gòng jì,在困难时互相帮助。
入木三分,rù mù sān fēn,形容文字或行为非常深刻。
一毫不差,yī háo bù chà,一点儿也不差，非常准确。
不可思议,bù kě sī yì,不容易相信，难以理解。
顺手牵羊,shùn shǒu qiān yáng,毫不费力地取得某物。
水落石出,shuǐ luò shí chū,真相终究会大白的。
入情入理,rù qíng rù lǐ,既有感情又有道理。
恍然大悟,huǎng rán dà wù,忽然间明白了一件事情。
刮骨疗伤,guā gǔ liáo shāng,形容治疗方法彻底，能够根治疾病。
石破天惊,shí pò tiān jīng,形容事情非常突然，令人震惊。
七手八脚,qī shǒu bā jiǎo,形容人或事物非常忙碌，热闹非凡。
受宠若惊,shòu chǒng ruò jīng,因得到特殊的待遇而感到惊讶。
不知所措,bù zhī suǒ cuò,不知道该怎么办才好。
假以时日,jiǎ yǐ shí rì,给予充分的时间，几乎任何事情都能完成。
面目全非,miàn mù quán fēi,形容事物发生了翻天覆地的变化。
人云亦云,rén yún yì yún,形容没有主见，盲目跟从别人的意见或行动。
四面楚歌,sì miàn chǔ gē,比喻四面受到敌人的包围。
投桃报李,tóu táo bào lǐ,对别人的好意以更大的好意回报。
不打不成器,bù dǎ bù chéng qì,不打骂孩子，孩子就不成器。
五体投地,wǔ tǐ tóu dì,对某人非常敬佩，连五脏六腑都投降了。
刮目相看,guā mù xiàng kàn,以新的眼光来重新看待某人，对其加以尊重。
一日千里,yī rì qiān lǐ,形容进步极快。
身体力行,shēn tǐ lì xíng,实践自己的理论或主张。
不遗余力,bù yí yú lì,尽最大努力。
如鱼得水,rú yú dé shuǐ,感到非常舒适和自在。
金玉满堂,jīn yù mǎn táng,形容家庭富裕，财宝丰富。
先发制人,xiān fā zhì rén,先下手为强，先采取行动以占据优势。
独善其身,dú shàn qí shēn,只考虑自己的利益，不顾及别人。
风雨同舟,fēng yǔ tóng zhōu,在困难时期互相支持，共同度过难关。
放眼世界,fàng yǎn shì jiè,以广阔的眼界来看待世界。
如履薄冰,rú lǚ bó bīng,比喻情况十分危险，非常谨慎。
垂头丧气,chuí tóu sàng qì,形容情绪低落，没有信心。
大惊小怪,dà jīng xiǎo guài,对小事过分紧张或惊讶。
力不从心,lì bù cóng xīn,心有余而力不足，不能达到自己的愿望。
视同路人,shì tóng lù rén,不与他人交往，对待他们就像对待陌生人一样。
恩将仇报,ēn jiāng chóu bào,对别人的好意以恶报，对恩德不加感激。
