chinese,pinyin,meaning,translation,tags
殊途同归,shū tú tóng guī,不同的方式或途径最终都达到同样的目的。,Different ways or ways ultimately achieve the same goal.,ways;不同;方式;途径;最终;success
人山人海,rén shān rén hǎi,人非常多，非常拥挤。,There are a lot of people and very crowded.,非常;拥挤;lot;people;crowded
四海为家,sì hǎi wéi jiā,到了哪里都能觉得像在家一样舒适。,You can feel as comfortable as at home wherever you go.,哪里;觉得;在家;一样;舒适
同舟共济,tóng zhōu gòng jì,在困难时互相帮助。,Help each other when it’s difficult.,困难;互相帮助;help;difficult
入木三分,rù mù sān fēn,形容文字或行为非常深刻。,Describes words or behaviors that are very profound.,形容;文字;行为;非常;深刻
一毫不差,yī háo bù chà,一点儿也不差，非常准确。,"Not bad at all, very accurate.",一点儿;不差;非常;准确;bad
不可思议,bù kě sī yì,不容易相信，难以理解。,It is not easy to believe and difficult to understand.,容易;相信;难以;理解;easy
顺手牵羊,shùn shǒu qiān yáng,毫不费力地取得某物。,Get something effortlessly.,毫不费力;取得;某物;get;something;perseverance
水落石出,shuǐ luò shí chū,真相终究会大白的。,The truth will eventually come true.,真相;终究会;大白;truth;eventually
入情入理,rù qíng rù lǐ,既有感情又有道理。,It has both emotions and makes sense.,既有;感情;道理;emotions;makes
恍然大悟,huǎng rán dà wù,忽然间明白了一件事情。,Suddenly I understood something.,忽然间;明白;一件;事情;suddenly
刮骨疗伤,guā gǔ liáo shāng,形容治疗方法彻底，能够根治疾病。,Describes a thorough treatment method that can cure the disease.,形容;治疗;方法;彻底;能够
石破天惊,shí pò tiān jīng,形容事情非常突然，令人震惊。,Describes something very sudden and shocking.,形容;事情;非常;突然;令人震惊
七手八脚,qī shǒu bā jiǎo,形容人或事物非常忙碌，热闹非凡。,Describes people or things that are very busy and lively.,形容;或事物;非常;忙碌;热闹非凡
受宠若惊,shòu chǒng ruò jīng,因得到特殊的待遇而感到惊讶。,Surprised by the special treatment.,得到;特殊;待遇;感到;惊讶
不知所措,bù zhī suǒ cuò,不知道该怎么办才好。,Don't know what to do.,知道;怎么办;know
假以时日,jiǎ yǐ shí rì,给予充分的时间，几乎任何事情都能完成。,Give enough time and almost anything can be accomplished.,给予;充分;时间;几乎;任何;time
面目全非,miàn mù quán fēi,形容事物发生了翻天覆地的变化。,Describes a earth-shaking change in things.,形容;事物;发生;翻天覆地;变化;change
人云亦云,rén yún yì yún,形容没有主见，盲目跟从别人的意见或行动。,Describes having no opinion and blindly following other people's opinions or actions.,形容;没有;主见;盲目;别人;success
四面楚歌,sì miàn chǔ gē,比喻四面受到敌人的包围。,A metaphor for being surrounded by enemies on all sides.,比喻;四面;受到;敌人;包围
投桃报李,tóu táo bào lǐ,对别人的好意以更大的好意回报。,Reward your kindness to others with greater kindness.,好意;kindness;别人;回报;reward
不打不成器,bù dǎ bù chéng qì,不打骂孩子，孩子就不成器。,"If you don’t beat and scold the child, the child will not be a weapon.",孩子;child;打骂;不成器;beat
五体投地,wǔ tǐ tóu dì,对某人非常敬佩，连五脏六腑都投降了。,I admire someone very much and even surrendered to my internal organs.,某人;非常;敬佩;五脏六腑;投降
刮目相看,guā mù xiàng kàn,以新的眼光来重新看待某人，对其加以尊重。,Re-look at someone with a new perspective and respect him.,以新;眼光;重新;看待;某人
一日千里,yī rì qiān lǐ,形容进步极快。,Describes extremely rapid progress.,形容;进步;极快;describes;extremely
身体力行,shēn tǐ lì xíng,实践自己的理论或主张。,Practice your own theories or claims.,实践;自己;理论;主张;practice
不遗余力,bù yí yú lì,尽最大努力。,Do your best.,最大;努力;best;perseverance
如鱼得水,rú yú dé shuǐ,感到非常舒适和自在。,Feel very comfortable and comfortable.,comfortable;感到;非常;舒适;feel
金玉满堂,jīn yù mǎn táng,形容家庭富裕，财宝丰富。,Describes a wealthy family and rich treasures.,形容;家庭;富裕;财宝;丰富
先发制人,xiān fā zhì rén,先下手为强，先采取行动以占据优势。,Take action first and take action first to gain an advantage.,take;action;first;先下手为强;采取行动
独善其身,dú shàn qí shēn,只考虑自己的利益，不顾及别人。,Only consider your own interests and ignore others.,考虑;自己;利益;顾及;别人
风雨同舟,fēng yǔ tóng zhōu,在困难时期互相支持，共同度过难关。,Support each other in difficult times and overcome difficulties together.,困难;时期;互相支持;共同;度过难关;time
放眼世界,fàng yǎn shì jiè,以广阔的眼界来看待世界。,Look at the world with a broad vision.,广阔;眼界;看待;世界;look
如履薄冰,rú lǚ bó bīng,比喻情况十分危险，非常谨慎。,It is a metaphor for the situation that is very dangerous and very cautious.,比喻;情况;十分;危险;非常;caution
垂头丧气,chuí tóu sàng qì,形容情绪低落，没有信心。,Describes a depressed mood and lack of confidence.,形容;情绪低落;没有;信心;describes
大惊小怪,dà jīng xiǎo guài,对小事过分紧张或惊讶。,Too nervous or surprised by small things.,小事;过分;紧张;惊讶;nervous
力不从心,lì bù cóng xīn,心有余而力不足，不能达到自己的愿望。,"If you have the will but lack the strength, you cannot achieve your wishes.",心有余而力不足;不能;达到;自己;愿望;success
视同路人,shì tóng lù rén,不与他人交往，对待他们就像对待陌生人一样。,"Don't interact with others, treat them like strangers.",对待;他人;交往;他们;陌生人
恩将仇报,ēn jiāng chóu bào,对别人的好意以恶报，对恩德不加感激。,"Repay others' kindness with evil, and be unhappy with kindness.",kindness;别人;好意;恶报;恩德
