chinese,pinyin,meaning,translation
虚虚实实,xū xū shí shí,形容言语、行为或说的话有实有虚。,"Describes words, actions or words that are real and false."
有的放矢,yǒu dì fàng shǐ,比喻言行有的有计划，有的有目标。,It is a metaphor for some words and deeds to be planned and some have goals.
明枪易躲，暗箭难防,"míng qiāng yì duǒ, àn jiàn nán fáng",明目张胆的事情容易避开，暗地里伤人的事情却很难防范。,"It is easy to avoid blatant things, but it is difficult to prevent things that hurt people secretly."
守口如瓶,shǒu kǒu rú píng,形容不泄露秘密，保守口风。,Describes not revealing secrets and keeping their tone in mind.
含沙射影,hán shā shè yǐng,比喻在话里暗中影射或暗中诽谤。,A metaphor for secretly allusing or slandering in words.
奉公守法,fèng gōng shǒu fǎ,遵守法律，秉公办事。,Abide by the law and act impartially.
扬眉吐气,yáng méi tǔ qì,打败了仇敌，感到自豪和得意。,"Beat the enemy, feel proud and proud."
青梅竹马,qīng méi zhú mǎ,幼小时候就互相相爱，长大后成为夫妻。,They fell in love with each other when they were young and became husband and wife when they grew up.
轻松自如,qīng sōng zì rú,感到轻松和自在。,Feel relaxed and at ease.
老马识途,lǎo mǎ shí tú,比喻有经验的人在熟悉的领域里表现得游刃有余。,It is a metaphor for experienced people to act easily in familiar fields.
七上八下,qī shàng bā xià,形容心情不安，犹豫不决。,Describes an uneasy and hesitant mood.
星星之火，可以燎原,"xīng xīng zhī huǒ, kě yǐ liáo yuán",比喻小小的火苗可以燃起熊熊烈火。,It is a metaphor for a small flame that can ignite a raging fire.
万无一失,wàn wú yī shī,没有一点失误，十分稳妥。,"No mistakes, very safe."
心惊肉跳,xīn jīng ròu tiào,感到非常恐惧，心跳加速。,Feeling very scared and my heart beat faster.
得过且过,dé guò qiě guò,过一天算一天，不考虑未来。,One day is counted on a day without considering the future.
殊途同归,shū tú tóng guī,不同的方式或途径最终都达到同样的目的。,Different ways or ways ultimately achieve the same goal.
人山人海,rén shān rén hǎi,人非常多，非常拥挤。,There are a lot of people and very crowded.
四海为家,sì hǎi wéi jiā,到了哪里都能觉得像在家一样舒适。,You can feel as comfortable as at home wherever you go.
同舟共济,tóng zhōu gòng jì,在困难时互相帮助。,Help each other when it’s difficult.
入木三分,rù mù sān fēn,形容文字或行为非常深刻。,Describes words or behaviors that are very profound.
一毫不差,yī háo bù chà,一点儿也不差，非常准确。,"Not bad at all, very accurate."
不可思议,bù kě sī yì,不容易相信，难以理解。,It is not easy to believe and difficult to understand.
顺手牵羊,shùn shǒu qiān yáng,毫不费力地取得某物。,Get something effortlessly.
水落石出,shuǐ luò shí chū,真相终究会大白的。,The truth will eventually come true.
入情入理,rù qíng rù lǐ,既有感情又有道理。,It has both emotions and makes sense.
恍然大悟,huǎng rán dà wù,忽然间明白了一件事情。,Suddenly I understood something.
刮骨疗伤,guā gǔ liáo shāng,形容治疗方法彻底，能够根治疾病。,Describes a thorough treatment method that can cure the disease.
石破天惊,shí pò tiān jīng,形容事情非常突然，令人震惊。,Describes something very sudden and shocking.
七手八脚,qī shǒu bā jiǎo,形容人或事物非常忙碌，热闹非凡。,Describes people or things that are very busy and lively.
受宠若惊,shòu chǒng ruò jīng,因得到特殊的待遇而感到惊讶。,Surprised by the special treatment.
不知所措,bù zhī suǒ cuò,不知道该怎么办才好。,Don't know what to do.
假以时日,jiǎ yǐ shí rì,给予充分的时间，几乎任何事情都能完成。,Give enough time and almost anything can be accomplished.
面目全非,miàn mù quán fēi,形容事物发生了翻天覆地的变化。,Describes a earth-shaking change in things.
人云亦云,rén yún yì yún,形容没有主见，盲目跟从别人的意见或行动。,Describes having no opinion and blindly following other people's opinions or actions.
四面楚歌,sì miàn chǔ gē,比喻四面受到敌人的包围。,A metaphor for being surrounded by enemies on all sides.
投桃报李,tóu táo bào lǐ,对别人的好意以更大的好意回报。,Reward your kindness to others with greater kindness.
不打不成器,bù dǎ bù chéng qì,不打骂孩子，孩子就不成器。,"If you don’t beat and scold the child, the child will not be a weapon."
五体投地,wǔ tǐ tóu dì,对某人非常敬佩，连五脏六腑都投降了。,I admire someone very much and even surrendered to my internal organs.
刮目相看,guā mù xiàng kàn,以新的眼光来重新看待某人，对其加以尊重。,Re-look at someone with a new perspective and respect him.
一日千里,yī rì qiān lǐ,形容进步极快。,Describes extremely rapid progress.
身体力行,shēn tǐ lì xíng,实践自己的理论或主张。,Practice your own theories or claims.
不遗余力,bù yí yú lì,尽最大努力。,Do your best.
如鱼得水,rú yú dé shuǐ,感到非常舒适和自在。,Feel very comfortable and comfortable.
金玉满堂,jīn yù mǎn táng,形容家庭富裕，财宝丰富。,Describes a wealthy family and rich treasures.
先发制人,xiān fā zhì rén,先下手为强，先采取行动以占据优势。,Take action first and take action first to gain an advantage.
独善其身,dú shàn qí shēn,只考虑自己的利益，不顾及别人。,Only consider your own interests and ignore others.
风雨同舟,fēng yǔ tóng zhōu,在困难时期互相支持，共同度过难关。,Support each other in difficult times and overcome difficulties together.
放眼世界,fàng yǎn shì jiè,以广阔的眼界来看待世界。,Look at the world with a broad vision.
如履薄冰,rú lǚ bó bīng,比喻情况十分危险，非常谨慎。,It is a metaphor for the situation that is very dangerous and very cautious.
垂头丧气,chuí tóu sàng qì,形容情绪低落，没有信心。,Describes a depressed mood and lack of confidence.
大惊小怪,dà jīng xiǎo guài,对小事过分紧张或惊讶。,Too nervous or surprised by small things.
力不从心,lì bù cóng xīn,心有余而力不足，不能达到自己的愿望。,"If you have the will but lack the strength, you cannot achieve your wishes."
视同路人,shì tóng lù rén,不与他人交往，对待他们就像对待陌生人一样。,"Don't interact with others, treat them like strangers."
恩将仇报,ēn jiāng chóu bào,对别人的好意以恶报，对恩德不加感激。,"Repay others' kindness with evil, and be unhappy with kindness."
